1,Apple,52.00,0.30,0.20,14.00
2,Banana,96.00,1.30,0.30,27.00
3,Broccoli,34.00,2.80,0.40,7.00
4,Chicken Breast,165.00,31.00,3.60,0.00
5,Almonds,579.00,21.00,50.00,22.00
6,Orange,47.00,0.90,0.10,12.00
7,Salmon,208.00,20.00,13.00,0.00
8,Egg,155.00,13.00,11.00,1.10
9,Milk,42.00,3.40,1.00,5.00
10,Rice,130.00,2.40,0.30,28.00
11,Potato,77.00,2.00,0.10,17.00
12,Carrot,41.00,0.90,0.20,10.00
13,Tomato,18.00,0.90,0.20,3.90
14,Spinach,23.00,2.90,0.40,3.60
15,Beef,250.00,26.00,15.00,0.00
16,Yogurt,59.00,10.00,0.40,3.60
17,Cheddar Cheese,402.00,25.00,33.00,1.30
18,Peanut Butter,588.00,25.00,50.00,20.00
19,Brown Rice,111.00,2.60,0.90,23.00
20,Oatmeal,68.00,2.40,1.40,12.00
21,Turkey,104.00,17.00,2.10,0.00
22,Tofu,76.00,8.00,4.80,1.90
23,Lentils,116.00,9.00,0.40,20.00
24,Black Beans,132.00,9.00,0.50,23.00
25,Chickpeas,164.00,9.00,2.60,27.00
26,Quinoa,120.00,4.10,1.90,21.00
27,Sweet Potato,86.00,1.60,0.10,20.00
28,Cucumber,16.00,0.70,0.10,3.60
29,Zucchini,17.00,1.20,0.30,3.10
30,Mushrooms,22.00,3.10,0.30,3.30
31,Cauliflower,25.00,1.90,0.30,4.90
32,Peas,81.00,5.40,0.40,14.00
33,Green Beans,31.00,1.80,0.20,7.00
34,Strawberries,32.00,0.70,0.30,8.00
35,Blueberries,57.00,0.70,0.30,14.00
36,Pineapple,50.00,0.50,0.10,13.00
37,Watermelon,30.00,0.60,0.20,8.00
38,Papaya,43.00,0.50,0.30,11.00
39,Grapes,69.00,0.70,0.20,18.00
40,Pear,57.00,0.40,0.10,15.00
41,Mango,60.00,0.80,0.40,15.00
42,Kiwi,41.00,0.80,0.40,10.00
43,Pomegranate,83.00,1.70,1.20,19.00
44,Avocado,160.00,2.00,15.00,9.00
45,Coconut,354.00,3.30,33.00,15.00
46,Walnuts,654.00,15.00,65.00,14.00
47,Pistachios,562.00,20.00,45.00,28.00
48,Cashews,553.00,18.00,44.00,30.00
49,Hazelnuts,628.00,15.00,61.00,17.00
50,Macadamia Nuts,718.00,8.00,76.00,14.00
51,Brazil Nuts,659.00,14.00,66.00,12.00
52,Pumpkin Seeds,446.00,19.00,19.00,54.00
53,Sunflower Seeds,584.00,20.00,51.00,20.00
54,Sesame Seeds,573.00,18.00,50.00,23.00
55,Flax Seeds,534.00,18.00,42.00,29.00
56,Chia Seeds,486.00,16.00,31.00,42.00
57,Hemp Seeds,553.00,31.00,48.00,9.00
58,Poppy Seeds,525.00,18.00,42.00,28.00
59,Sesame Oil,884.00,0.00,100.00,0.00
60,Olive Oil,884.00,0.00,100.00,0.00
61,Coconut Oil,892.00,0.00,100.00,0.00
62,Butter,717.00,0.90,81.00,0.10
63,Cream Cheese,342.00,6.20,34.00,4.30
64,Mozzarella,280.00,28.00,17.00,3.00
65,Cottage Cheese,98.00,11.00,4.30,3.40
66,Feta Cheese,264.00,14.00,21.00,4.10
67,Parmesan Cheese,431.00,38.00,29.00,4.10
68,Ice Cream,207.00,3.50,11.00,24.00
69,Chocolate,546.00,4.90,31.00,61.00
70,Dark Chocolate,598.00,7.90,42.00,46.00
71,White Chocolate,539.00,5.90,30.00,59.00
72,Milk Chocolate,535.00,7.60,31.00,59.00
